Tm,#P,PAge,RA/G,W,L,W-L%,ERA,G,GS,GF,CG,tSho,cSho,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,LOB
Arizona Diamondbacks,22,28.6,4.71,32,23,0.582,4.39,55,55,55,0,4,0,15,488.1,460,259,238,63,197,4,463,13,4,21,2083,100,4.36,1.345,8.5,1.2,3.6,8.5,2.35,363
Atlanta Braves,20,30.2,4.04,32,23,0.582,3.7,55,55,54,1,5,1,13,487,449,222,200,51,176,4,524,25,6,18,2064,121,3.73,1.283,8.3,0.9,3.3,9.7,2.98,385
Baltimore Orioles,18,28.4,4.38,35,20,0.636,4.1,55,55,55,0,4,0,18,496.2,474,241,226,64,177,9,496,17,5,24,2099,104,4.13,1.311,8.6,1.2,3.2,9,2.8,377
Boston Red Sox,22,31,5.02,28,26,0.519,4.75,54,54,54,0,0,0,14,474,465,271,250,76,162,2,450,26,1,19,2047,98,4.66,1.323,8.8,1.4,3.1,8.5,2.78,356
Chicago Cubs,20,29.9,4.43,24,30,0.444,4.24,54,54,53,1,6,1,7,478,444,239,225,51,163,3,453,20,4,14,2006,105,3.93,1.27,8.4,1,3.1,8.5,2.78,339
Chicago White Sox,22,29.7,5.16,23,34,0.404,4.82,57,57,57,0,3,0,10,502.1,475,294,269,79,227,4,529,33,6,17,2208,91,4.78,1.397,8.5,1.4,4.1,9.5,2.33,415
Cincinnati Reds,25,27.9,5.07,25,29,0.463,4.96,54,54,54,0,3,0,16,475.1,499,274,262,65,197,3,489,25,2,19,2099,98,4.41,1.464,9.4,1.2,3.7,9.3,2.48,403
Cleveland Guardians,18,26.3,4.15,24,30,0.444,3.78,54,54,53,1,5,0,20,483.2,456,224,203,54,150,2,409,17,2,22,2035,110,4.08,1.253,8.5,1,2.8,7.6,2.73,370
Colorado Rockies,26,29.6,5.55,24,32,0.429,5.22,56,56,56,0,4,0,11,486,517,311,282,74,211,2,405,19,5,20,2145,98,5.02,1.498,9.6,1.4,3.9,7.5,1.92,376
Detroit Tigers,20,28.8,4.87,25,28,0.472,4.5,53,53,53,0,4,0,13,474,448,258,237,68,146,4,419,16,3,18,2003,95,4.41,1.253,8.5,1.3,2.8,8,2.87,334
Houston Astros,17,28.6,3.5,32,22,0.593,3.16,54,54,53,1,4,1,15,480.2,419,189,169,56,153,1,528,20,2,13,1981,135,3.68,1.19,7.8,1,2.9,9.9,3.45,354
Kansas City Royals,23,30.3,5.2,17,39,0.304,5.06,56,56,55,1,2,0,8,489.1,484,291,275,64,218,2,475,22,4,27,2142,88,4.52,1.435,8.9,1.2,4,8.7,2.18,385
Los Angeles Angels,25,28.4,4.7,29,27,0.518,4.21,56,56,56,0,5,0,18,495.2,457,263,232,61,197,14,486,33,3,30,2130,106,4.32,1.319,8.3,1.1,3.6,8.8,2.47,385
Los Angeles Dodgers,23,28,4.5,34,22,0.607,4.41,56,56,56,0,4,0,14,493.2,462,252,242,63,156,6,461,22,3,12,2083,102,4.16,1.252,8.4,1.1,2.8,8.4,2.96,354
Miami Marlins,24,27.5,4.6,28,27,0.509,4.34,55,55,54,1,3,1,15,489.1,466,253,236,62,201,11,502,22,3,9,2109,103,4.25,1.363,8.6,1.1,3.7,9.2,2.5,397
Milwaukee Brewers,25,29.3,4.48,28,26,0.519,4.19,54,54,54,0,6,0,12,475,449,242,221,73,172,3,429,25,2,16,2034,103,4.72,1.307,8.5,1.4,3.3,8.1,2.49,370
Minnesota Twins,22,28.6,3.78,28,27,0.509,3.47,55,55,55,0,3,0,12,495,416,208,191,53,168,11,543,13,0,19,2049,124,3.58,1.18,7.6,1,3.1,9.9,3.23,369
New York Mets,24,32.1,4.65,28,27,0.509,4.69,55,55,54,1,4,0,16,476,444,256,248,75,199,1,454,30,2,16,2050,90,4.87,1.351,8.4,1.4,3.8,8.6,2.28,369
New York Yankees,21,28.8,4.07,34,23,0.596,3.74,57,57,56,1,3,1,15,510.2,432,232,212,61,198,1,518,32,4,14,2155,115,4.16,1.234,7.6,1.1,3.5,9.1,2.62,398
Oakland Athletics,29,28.1,6.86,12,45,0.211,6.68,57,57,57,0,0,0,4,500,547,391,371,98,262,11,431,39,0,29,2302,61,5.92,1.618,9.8,1.8,4.7,7.8,1.65,420
Philadelphia Phillies,22,29.7,4.94,25,29,0.463,4.59,54,54,54,0,1,0,14,470.1,459,267,240,58,169,2,489,20,4,10,2028,95,4.01,1.335,8.8,1.1,3.2,9.4,2.89,353
Pittsburgh Pirates,18,28.7,4.28,27,27,0.5,3.99,54,54,53,1,6,1,14,476.1,445,231,211,52,187,9,468,12,5,22,2046,111,3.99,1.327,8.4,1,3.5,8.8,2.5,389
San Diego Padres,19,30.7,4.13,25,29,0.463,3.98,54,54,54,0,3,0,15,479,429,223,212,59,178,4,451,22,2,16,2019,104,4.26,1.267,8.1,1.1,3.3,8.5,2.53,365
Seattle Mariners,23,28.4,4.09,28,27,0.509,3.71,55,55,54,1,5,0,14,494.2,445,225,204,47,139,10,497,15,1,18,2047,111,3.44,1.181,8.1,0.9,2.5,9,3.58,349
San Francisco Giants,18,30.8,4.45,28,27,0.509,3.98,55,55,54,1,4,1,19,486.2,465,245,215,64,156,7,485,23,5,24,2062,109,4.1,1.276,8.6,1.2,2.9,9,3.11,363
St. Louis Cardinals,19,29.8,4.67,25,32,0.439,4.31,57,57,57,0,4,0,13,503.2,526,266,241,58,199,3,487,23,4,25,2206,97,4.17,1.439,9.4,1,3.6,8.7,2.45,434
Tampa Bay Rays,28,28,3.82,39,18,0.684,3.71,57,57,57,0,8,0,16,505,437,218,208,60,178,6,476,23,1,27,2111,109,4.14,1.218,7.8,1.1,3.2,8.5,2.67,381
Texas Rangers,20,30.6,3.93,35,19,0.648,3.69,54,54,52,2,5,1,10,478.1,418,212,196,52,152,5,445,20,2,14,1971,118,3.92,1.192,7.9,1,2.9,8.4,2.93,327
Toronto Blue Jays,16,30.4,4.35,29,26,0.527,3.95,55,55,54,1,8,1,14,487.2,439,239,214,73,191,7,511,24,5,14,2074,105,4.46,1.292,8.1,1.3,3.5,9.4,2.68,381
Washington Nationals,18,28.7,4.76,23,32,0.418,4.45,55,55,55,0,1,0,16,481.2,482,262,238,70,205,5,406,16,3,22,2100,96,4.86,1.426,9,1.3,3.8,7.6,1.98,393
